source, destination, distance
610028, 194644, Infinity
610028, 216892, Infinity
610028, 226940, Infinity
610028, 250065, Infinity
610028, 278055, Infinity
610028, 308751, Infinity
610028, 324462, Infinity
610028, 355012, Infinity
610028, 358988, Infinity
610028, 379951, Infinity
610028, 384065, Infinity
610028, 397035, Infinity
610028, 414522, Infinity
610028, 446014, Infinity
610028, 488690, Infinity
610028, 497479, Infinity
610028, 572693, Infinity
610028, 588339, Infinity
610028, 610028, 0
610028, 680927, Infinity
610028, 684347, Infinity
610028, 713382, Infinity
610028, 715009, Infinity
610028, 791075, Infinity
610028, 844661, Infinity
610028, 910003, Infinity
680927, 123, 2
680927, 24004, 1
680927, 29788, 3
680927, 100071, 3
680927, 105881, 2
680927, 115839, 3
680927, 157662, 2
680927, 193044, 2
680927, 194644, 2
680927, 216892, 2
680927, 226940, 3
680927, 250065, 2
680927, 278055, 2
680927, 308751, 2
680927, 324462, 2
680927, 355012, 3
680927, 358988, 2
680927, 379951, 2
680927, 384065, 3
680927, 397035, 2
680927, 414522, 2
680927, 446014, 3
680927, 488690, 2
680927, 497479, 3
680927, 572693, 3
680927, 588339, 2
680927, 610028, 3
680927, 680927, 0
680927, 684347, 3
680927, 713382, 2
680927, 715009, 3
680927, 791075, 2
680927, 844661, 3
680927, 910003, 2
684347, 123, Infinity
684347, 24004, Infinity
684347, 29788, Infinity
684347, 100071, Infinity
684347, 105881, Infinity
684347, 115839, Infinity
684347, 157662, Infinity
684347, 193044, Infinity
684347, 194644, Infinity
684347, 216892, Infinity
684347, 226940, Infinity
684347, 250065, Infinity
684347, 278055, Infinity
684347, 308751, Infinity
684347, 324462, Infinity
684347, 355012, Infinity
684347, 358988, Infinity
684347, 379951, Infinity
684347, 384065, Infinity
684347, 397035, Infinity
684347, 414522, Infinity
684347, 446014, Infinity
684347, 488690, Infinity
684347, 497479, Infinity
684347, 572693, Infinity
684347, 588339, Infinity
684347, 610028, Infinity
684347, 680927, Infinity
684347, 684347, 0
684347, 713382, Infinity
684347, 715009, Infinity
684347, 791075, Infinity
684347, 844661, Infinity
684347, 910003, Infinity
713382, 123, 2
713382, 24004, 1
713382, 29788, 3
713382, 100071, 3
713382, 105881, 2
713382, 115839, 3
713382, 157662, 2
713382, 193044, 2
713382, 194644, 2
713382, 216892, 2
713382, 226940, 3
713382, 250065, 2
713382, 278055, 2
713382, 308751, 2
713382, 324462, 2
713382, 355012, 3
713382, 358988, 2
713382, 379951, 2
713382, 384065, 3
713382, 397035, 2
713382, 414522, 2
713382, 446014, 3
713382, 488690, 2
713382, 497479, 3
713382, 572693, 3
713382, 588339, 2
713382, 610028, 3
713382, 680927, 2
713382, 684347, 3
713382, 713382, 0
713382, 715009, 3
713382, 791075, 2
713382, 844661, 3
713382, 910003, 2
715009, 123, Infinity
715009, 24004, Infinity
715009, 29788, Infinity
715009, 100071, Infinity
715009, 105881, Infinity
715009, 115839, Infinity
715009, 157662, Infinity
715009, 193044, Infinity
715009, 194644, Infinity
715009, 216892, Infinity
715009, 226940, Infinity
715009, 250065, Infinity
715009, 278055, Infinity
715009, 308751, Infinity
715009, 324462, Infinity
715009, 355012, Infinity
715009, 358988, Infinity
715009, 379951, Infinity
715009, 384065, Infinity
715009, 397035, Infinity
715009, 414522, Infinity
715009, 446014, Infinity
715009, 488690, Infinity
715009, 497479, Infinity
715009, 572693, Infinity
715009, 588339, Infinity
715009, 610028, Infinity
715009, 680927, Infinity
715009, 684347, Infinity
715009, 713382, Infinity
715009, 715009, 0
715009, 791075, Infinity
715009, 844661, Infinity
715009, 910003, Infinity
791075, 123, 2
791075, 24004, 1
791075, 29788, 3
791075, 100071, 3
791075, 105881, 2
791075, 115839, 3
791075, 157662, 2
791075, 193044, 2
791075, 194644, 2
791075, 216892, 2
791075, 226940, 3
791075, 250065, 2
791075, 278055, 2
791075, 308751, 1
791075, 324462, 2
791075, 355012, 3
791075, 358988, 2
791075, 379951, 2
791075, 384065, 3
791075, 397035, 2
791075, 414522, 2
791075, 446014, 3
791075, 488690, 2
791075, 497479, 3
791075, 572693, 3
791075, 588339, 1
791075, 610028, 3
791075, 680927, 2
791075, 684347, 3
791075, 713382, 2
791075, 715009, 3
791075, 791075, 0
791075, 844661, 3
791075, 910003, 2
844661, 123, Infinity
844661, 24004, Infinity
844661, 29788, Infinity
844661, 100071, Infinity
844661, 105881, Infinity
844661, 115839, Infinity
844661, 157662, Infinity
844661, 193044, Infinity
844661, 194644, Infinity
844661, 216892, Infinity
844661, 226940, Infinity
844661, 250065, Infinity
844661, 278055, Infinity
844661, 308751, Infinity
844661, 324462, Infinity
844661, 355012, Infinity
844661, 358988, Infinity
844661, 379951, Infinity
844661, 384065, Infinity
844661, 397035, Infinity
844661, 414522, Infinity
844661, 446014, Infinity
844661, 488690, Infinity
844661, 497479, Infinity
844661, 572693, Infinity
844661, 588339, Infinity
844661, 610028, Infinity
844661, 680927, Infinity
844661, 684347, Infinity
844661, 713382, Infinity
844661, 715009, Infinity
844661, 791075, Infinity
844661, 844661, 0
844661, 910003, Infinity
910003, 123, 2
910003, 24004, 1
910003, 29788, 3
910003, 100071, 3
910003, 105881, 2
910003, 115839, 3
910003, 157662, 2
910003, 193044, 2
910003, 194644, 2
910003, 216892, 2
910003, 226940, 3
910003, 250065, 2
910003, 278055, 2
910003, 308751, 2
910003, 324462, 2
910003, 355012, 3
910003, 358988, 2
910003, 379951, 2
910003, 384065, 3
910003, 397035, 2
910003, 414522, 2
910003, 446014, 3
910003, 488690, 2
910003, 497479, 3
910003, 572693, 3
910003, 588339, 2
910003, 610028, 3
910003, 680927, 2
910003, 684347, 3
910003, 713382, 2
910003, 715009, 3
910003, 791075, 2
910003, 844661, 3
910003, 910003, 0
